track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,Cluster
24150,8898,2782,66,8225,7614,4315,292,235,2,3,0.748,0.916,6,-2.634,1,0.0583,0.102,0.0,0.0653,0.518,122.036,194754,2
3061,12520,6084,67,17650,10410,4492,292,235,2,3,0.726,0.815,11,-4.969,1,0.0373,0.0724,0.00421,0.357,0.693,99.972,162600,2
7219,924,10416,70,3798,985,4335,292,235,2,3,0.675,0.931,1,-3.432,0,0.0742,0.0794,2.33e-05,0.11,0.613,124.008,176616,2
25699,3020,9215,60,5293,2798,4348,292,235,2,3,0.718,0.93,7,-3.778,1,0.102,0.0287,9.43e-06,0.204,0.277,121.956,169093,2
5987,17910,5402,69,21936,14843,4220,292,235,2,3,0.65,0.833,1,-4.672,1,0.0359,0.0803,0.0,0.0833,0.725,123.976,189052,2
27088,1919,2782,67,8723,1851,4340,292,235,2,3,0.675,0.919,8,-5.385,1,0.127,0.0799,0.0,0.143,0.585,124.982,163049,2
8663,13476,4897,62,21175,11223,4355,292,235,2,3,0.449,0.856,5,-4.788,0,0.0623,0.187,0.0,0.176,0.152,112.648,187675,2
23920,15371,8189,69,17794,12786,4388,292,235,2,3,0.542,0.903,4,-2.419,0,0.0434,0.0335,4.83e-06,0.111,0.367,127.936,207619,2
26820,20444,743,68,20929,17411,4315,292,235,2,3,0.594,0.935,8,-3.562,1,0.0565,0.0249,3.97e-06,0.637,0.366,127.015,193187,2
4724,9492,8410,67,12930,7910,4320,292,235,2,3,0.642,0.818,2,-4.552,1,0.032,0.0567,0.0,0.0919,0.59,124.957,253040,2
13291,4110,2782,58,12145,3696,4321,292,235,2,3,0.679,0.923,6,-6.5,1,0.181,0.146,4.92e-06,0.124,0.752,121.984,207894,2
